Identifier,Return,Expected Return,Date
US15135B1017,11.73,11.78196425,8/31/2023
US15189T1079,-3.73,-3.57537501,8/31/2023
US15677J1088,-6.44,-6.297519456,8/31/2023
US1598641074,-5.24,-5.193174906,8/31/2023
US16119P1084,0.39,0.477686863,8/31/2023
US1667641005,4.67,4.728051551,8/31/2023
US1696561059,-4.92,-4.853390032,8/31/2023
US1713401024,-5.31,-5.194755997,8/31/2023
US1720621010,-2.63,-2.581447483,8/31/2023
US17275R1023,-6.26,-6.065192891,8/31/2023
US1729081059,-4.59,-4.498728306,8/31/2023
US1729674242,-0.39,-0.268562193,8/31/2023
US1746101054,-4.73,-4.574311494,8/31/2023
US1890541097,-16.23,-16.1861379,8/31/2023
US1912161007,-5.7,-5.589959832,8/31/2023
US1924461023,-5.4,-5.349171701,8/31/2023
US1941621039,-3.21,-3.054991858,8/31/2023
US20030N1019,-5.18,-5.167008527,8/31/2023
US2003401070,-12.24,-12.08844443,8/31/2023
US2058871029,-8.23,-8.051090863,8/31/2023
US20825C1045,1.14,1.244895287,8/31/2023
US2091151041,-3.86,-3.748905442,8/31/2023
US21036P1084,-3.54,-3.467088891,8/31/2023
US21037T1097,4.72,4.766694415,8/31/2023
US2166485019,-14.05,-13.92111903,8/31/2023
US2172041061,-3.88,-3.73302152,8/31/2023
US2193501051,-7.16,-6.973036411,8/31/2023
US2199481068,-6.03,-5.983654642,8/31/2023
US22052L1044,1.29,1.441655686,8/31/2023
US22160K1051,2.85,2.991771279,8/31/2023
US22160N1090,-6.22,-6.193569303,8/31/2023
US22822V1017,-6.97,-6.790253755,8/31/2023
US2310211063,-0.69,-0.613253554,8/31/2023
US23331A1097,-9.7,-9.586264676,8/31/2023
US2333311072,-3.11,-3.03927132,8/31/2023
US23355L1061,0.43,0.555673836,8/31/2023
US2358511028,-6.38,-6.285152848,8/31/2023
US2371941053,-7.9,-7.800783172,8/31/2023
US23918K1088,-7.7,-7.640071214,8/31/2023
US2441991054,-7.84,-7.776400622,8/31/2023
US2473617023,-13.71,-13.67003796,8/31/2023
US24906P1093,-7.52,-7.487182152,8/31/2023
US25179M1036,-5.74,-5.540275372,8/31/2023
US2521311074,-7.61,-7.553273131,8/31/2023
US25278X1090,2.04,2.091701697,8/31/2023
US2538681030,-7.25,-7.06455191,8/31/2023
US2546871060,-3.14,-3.084970673,8/31/2023
US2547091080,-3.82,-3.678910355,8/31/2023
US2566771059,-23.61,-23.41012198,8/31/2023
US2567461080,-13,-12.87971685,8/31/2023
US25746U1097,-7.97,-7.825366317,8/31/2023
US25754A2015,-1.93,-1.847149866,8/31/2023
US2600031080,-5.93,-5.753613154,8/31/2023
US2605571031,-5.5,-5.426126727,8/31/2023
US26441C2044,-0.61,-0.519879385,8/31/2023
US26614N1028,-2.99,-2.883604274,8/31/2023
US26875P1012,-1.45,-1.308340891,8/31/2023
US26884L1098,-6.11,-5.989576593,8/31/2023
US2774321002,-8.86,-8.791221423,8/31/2023
US2786421030,-1.54,-1.348771652,8/31/2023
US2788651006,-7.56,-7.477670092,8/31/2023
US2810201077,-7.01,-6.908535037,8/31/2023
US28176E1082,-9.4,-9.234610223,8/31/2023
US2855121099,0.35,0.390819528,8/31/2023
US2910111044,-1.71,-1.625231051,8/31/2023
US29355A1079,-5.04,-4.994731968,8/31/2023
US29364G1031,-2.89,-2.85499644,8/31/2023
US29414B1044,-1.27,-1.203116709,8/31/2023
US2944291051,-11.21,-11.08810987,8/31/2023
US29444U7000,-7.05,-6.989071841,8/31/2023
US29476L1070,-8.43,-8.399998256,8/31/2023
US2971781057,-10.06,-9.97784176,8/31/2023
US29786A1060,-12.22,-12.03325925,8/31/2023
US30034W1062,-7.77,-7.672841831,8/31/2023
US30040W1080,-7.9,-7.708409535,8/31/2023
US30161N1019,-5.81,-5.698234253,8/31/2023
US30212P3038,-4.91,-4.811207858,8/31/2023
US3021301094,-1.78,-1.660144498,8/31/2023
US30225T1025,-5.06,-4.861023189,8/31/2023
US30231G1022,5.75,5.876130377,8/31/2023
US3024913036,-21.65,-21.64943745,8/31/2023
US30303M1027,1.46,1.551283747,8/31/2023
US3030751057,0.19,0.233552697,8/31/2023
US3032501047,-3.99,-3.937369553,8/31/2023
US3119001044,-5.11,-4.933106573,8/31/2023
US3137451015,-6.39,-6.34174347,8/31/2023
US31428X1063,2,2.182504195,8/31/2023
US3156161024,-1.54,-1.517052771,8/31/2023
US31620M1062,-0.11,-0.021308009,8/31/2023
US3167731005,-3.26,-3.157757633,8/31/2023
US3364331070,-14.56,-14.37527253,8/31/2023
US3377381088,-6.94,-6.761549231,8/31/2023
US3379321074,-5.24,-5.149760202,8/31/2023
US3453708600,2.39,2.572020996,8/31/2023
US34959E1091,-2.54,-2.346812614,8/31/2023
US34959J1088,-5.95,-5.949450615,8/31/2023
US35137L1052,-5.63,-5.48950805,8/31/2023
US35137L2043,-5.37,-5.299293777,8/31/2023
US3546131018,-6.95,-6.877719886,8/31/2023
US35671D8570,-6.56,-6.481365434,8/31/2023
US36266G1076,-3.42,-3.37823764,8/31/2023
US3635761097,-1.11,-0.932734876,8/31/2023
US3666511072,-1.74,-1.565110467,8/31/2023
US3687361044,-8.29,-8.183567155,8/31/2023
US3695501086,-2.5,-2.487126588,8/31/2023
US3696043013,-3.35,-3.319690562,8/31/2023
US3703341046,-5.42,-5.386146164,8/31/2023
US37045V1008,-1.61,-1.429402121,8/31/2023
US3724601055,-5.49,-5.446110356,8/31/2023
US3755581036,-1.06,-1.035954112,8/31/2023
US37940X1028,-8.74,-8.586549317,8/31/2023
US37959E1029,-2.55,-2.446719085,8/31/2023
US38141G1040,-1.26,-1.255267999,8/31/2023
US3848021040,-3.12,-3.006918629,8/31/2023
US40412C1018,-11.09,-11.08550813,8/31/2023
US40434L1052,-12.71,-12.67190489,8/31/2023
US4062161017,5.28,5.315430963,8/31/2023
US4165151048,-1.27,-1.092831042,8/31/2023
US4180561072,-8.14,-7.962166216,8/31/2023
US42250P1030,-10.79,-10.72301313,8/31/2023
US4262811015,-3.27,-3.073561098,8/31/2023
US4278661081,-6.88,-6.741431371,8/31/2023
US42809H1077,-0.7,-0.670920252,8/31/2023
US42824C1099,2.97,3.047562466,8/31/2023
US43300A2033,1.03,1.207529249,8/31/2023
US4364401012,-7.14,-7.008877936,8/31/2023
US4370761029,-8.52,-8.322916637,8/31/2023
US4385161066,-1.7,-1.676318986,8/31/2023
US4404521001,-1.45,-1.449030302,8/31/2023
US44107P1049,2.89,2.905638762,8/31/2023
US4432011082,-6.51,-6.32860263,8/31/2023
US4448591028,5.58,5.774712267,8/31/2023
US4456581077,0.34,0.406449138,8/31/2023
US4461501045,-4.86,-4.802713255,8/31/2023
US4464131063,-7.14,-6.97432655,8/31/2023
US45167R1041,-8.12,-8.109249835,8/31/2023
US45168D1046,-14.5,-14.33381187,8/31/2023
US4523081093,-6.33,-6.30983093,8/31/2023
US4523271090,-16.91,-16.71271695,8/31/2023
US45337C1027,-10.48,-10.30945307,8/31/2023
US45687V1061,-8.46,-8.371135631,8/31/2023
US45784P1012,-16.81,-16.74337812,8/31/2023
US4581401001,1.17,1.365017477,8/31/2023
US45866F1049,-6.42,-6.362336497,8/31/2023
US4592001014,-4.45,-4.28358305,8/31/2023
US4595061015,-2.09,-1.951894773,8/31/2023
US4601461035,1.58,1.645333854,8/31/2023
US4606901001,-12.11,-12.02561265,8/31/2023
US4612021034,-5.7,-5.663885406,8/31/2023
US46120E6023,-6.52,-6.38112537,8/31/2023
US46187W1071,-7.04,-6.842236145,8/31/2023
US46266C1053,-11.62,-11.5891061,8/31/2023
US46284V1017,-5.48,-5.353006646,8/31/2023
US46625H1005,-0.9,-0.749660282,8/31/2023
US46982L1089,1.25,1.412266759,8/31/2023
US4781601046,-3.67,-3.658438139,8/31/2023
US48203R1041,-4.57,-4.541926413,8/31/2023
US4824801009,-8.61,-8.45537614,8/31/2023
US4878361082,-2.47,-2.309469569,8/31/2023
US49177J1025,-12.89,-12.87208136,8/31/2023
US49271V1008,-5.54,-5.396998007,8/31/2023
US4932671088,-5.03,-4.985253417,8/31/2023
US49338L1035,-0.74,-0.73156986,8/31/2023
US4943681035,-5.32,-5.198715337,8/31/2023
US49446R1095,-5.98,-5.942179658,8/31/2023
US49456B1017,-3.72,-3.706438879,8/31/2023
US5007541064,1.66,1.742658823,8/31/2023
US5010441013,-3.54,-3.477200453,8/31/2023
US5018892084,-5.75,-5.7148001,8/31/2023
US5024311095,-1.6,-1.48096875,8/31/2023
US50540R4092,-3.39,-3.235648742,8/31/2023
US5128071082,-10.49,-10.44213921,8/31/2023
US5132721045,-5.08,-5.07040081,8/31/2023
US5178341070,-16.44,-16.39163277,8/31/2023
US5184391044,-9.95,-9.80920502,8/31/2023
US5253271028,-5.13,-4.973416901,8/31/2023
US5260571048,-5.76,-5.694208524,8/31/2023
US5324571083,-3.08,-2.886695265,8/31/2023
US5341871094,1.44,1.481275801,8/31/2023
US5380341090,-1.76,-1.700383931,8/31/2023
US5398301094,-8.79,-8.697292505,8/31/2023
US5404241086,1.96,2.102242244,8/31/2023
US5486611073,-9.82,-9.62431618,8/31/2023
US55261F1049,1.12,1.221205871,8/31/2023
US5529531015,-16.42,-16.39803061,8/31/2023
US55354G1004,-5.62,-5.530946233,8/31/2023
US5658491064,1.52,1.597574344,8/31/2023
US56585A1025,6,6.18926935,8/31/2023
US57060D1081,-11.33,-11.24131354,8/31/2023
US5717481023,-2.41,-2.380669779,8/31/2023
US5719032022,-3.42,-3.261651712,8/31/2023
US5732841060,-8.05,-7.912920758,8/31/2023
US5745991068,-9.42,-9.360519328,8/31/2023
US57636Q1040,-4.05,-3.924806727,8/31/2023
US57667L1070,-16.42,-16.40242215,8/31/2023
US5797802064,-7.85,-7.817002968,8/31/2023
US5801351017,-6.3,-6.159800007,8/31/2023
US58155Q1031,5.46,5.539594082,8/31/2023
US58933Y1055,-4.9,-4.776532905,8/31/2023
US59156R1086,-0.68,-0.540906522,8/31/2023
US5926881054,-8.69,-8.532763538,8/31/2023
US5949181045,-3.66,-3.4768674,8/31/2023
US5950171042,-4.63,-4.450565647,8/31/2023
US5951121038,-2.73,-2.641672749,8/31/2023
US59522J1034,-11.42,-11.40578269,8/31/2023
US60770K1079,-8.65,-8.537886997,8/31/2023
US6081901042,-15.37,-15.2647451,8/31/2023
US60855R1005,5.73,5.857063018,8/31/2023
US60871R2094,0.16,0.311673715,8/31/2023
US6092071058,-2.01,-1.993125643,8/31/2023
US6098391054,-11.16,-10.96931092,8/31/2023
US61174X1090,-7.77,-7.750129604,8/31/2023
US6153691059,-6.13,-6.101041876,8/31/2023
US6174464486,-4.09,-3.975145786,8/31/2023
US61945C1036,-7.89,-7.752940772,8/31/2023
US6200763075,-3.7,-3.652981199,8/31/2023
US6293775085,2.58,2.677068558,8/31/2023
US62944T1051,-6.49,-6.335633111,8/31/2023
US6311031081,-7.02,-6.872486712,8/31/2023
